DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTA	SE CTA	SE	Other	913.15		2022-03-01 03:01:55
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTA	SE CTA	SE	Hydro Water Reservoir	7189.62		2022-03-01 03:01:55
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTA	SE CTA	SE	Fossil Gas	0.02		2022-03-01 03:01:55
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTA	SE CTA	SE	Nuclear	6602.0		2022-03-01 03:01:57
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTY	SE CTY	SE	Other	913.15		2022-03-01 03:02:00
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTY	SE CTY	SE	Nuclear	6602.0		2022-03-01 03:02:01
2022-03-01 00:00:00.000	PT60M	10YSE-1--------K	CTY	SE CTY	SE	Hydro Water Reservoir	7189.62		2022-03-01 03:02:01
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	Hydro Water Reservoir	485.93		2022-03-01 03:03:29
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	Hydro Pumped Storage	282.98		2022-03-01 04:01:54
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	Nuclear	3019.6		2022-03-01 04:01:53
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTA	CH CTA	CH	Hydro Run-of-river and poundage	119.15		2022-03-01 03:03:29
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Hydro Run-of-river and poundage	119.15		2022-03-01 03:03:30
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Nuclear	3019.6		2022-03-01 04:01:54
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	Hydro Run-of-river and poundage	119.15		2022-03-01 03:03:30
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	Nuclear	3019.6		2022-03-01 04:01:54
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	Hydro Water Reservoir	485.93		2022-03-01 03:03:30
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Hydro Water Reservoir	485.93		2022-03-01 03:03:30
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	BZN	CH BZN	CH	Hydro Pumped Storage	282.98		2022-03-01 04:01:55
2022-03-01 00:00:00.000	PT60M	10YCH-SWISSGRIDZ	CTY	CH CTY	CH	Hydro Pumped Storage	282.98		2022-03-01 04:01:55
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Solar	0.0	0.0	2022-03-01 03:03:50
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Wind Onshore	268.0	0.0	2022-03-01 03:25:01
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Geothermal	0.07	0.0	2022-03-01 03:03:54
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Fossil Oil	0.0	0.0	2022-03-01 03:03:54
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Other	22.0	0.0	2022-03-01 03:03:55
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Fossil Gas	1572.8	0.0	2022-03-02 14:11:10
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Other renewable	0.0	0.0	2022-03-01 03:03:56
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Biomass	92.0	0.0	2022-03-01 03:03:56
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Hydro Run-of-river and poundage	1593.2	0.0	2022-03-02 14:11:40
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Hydro Water Reservoir	17.2	0.0	2022-03-02 14:11:33
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Fossil Hard coal	0.0	0.0	2022-03-01 03:03:57
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Hydro Pumped Storage	0.0	780.8	2022-03-02 14:11:19
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTA	AT CTA	AT	Waste	100.0	0.0	2022-03-01 03:03:58
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Wind Onshore	268.0	0.0	2022-03-01 03:25:13
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Wind Onshore	268.0	0.0	2022-03-01 03:25:09
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Fossil Hard coal	0.0	0.0	2022-03-01 03:04:00
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Solar	0.0	0.0	2022-03-01 03:04:00
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Solar	0.0	0.0	2022-03-01 03:04:01
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Hard coal	0.0	0.0	2022-03-01 03:04:02
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Fossil Oil	0.0	0.0	2022-03-01 03:04:03
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Other renewable	0.0	0.0	2022-03-01 03:04:04
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	BZN	AT BZN	AT	Geothermal	0.07	0.0	2022-03-01 03:04:04
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Hydro Pumped Storage	0.0	780.8	2022-03-02 14:12:29
2022-03-01 00:45:00.000	PT15M	10YAT-APG------L	CTY	AT CTY	AT	Other	22.0	0.0	2022-03-01 03:04:05
